time,equity
2025-01-01 00:00:00,0.0
2025-01-01 01:00:00,1.6291964322562666
2025-01-01 02:00:00,3.9582398570800326
2025-01-01 03:00:00,5.820833468674207
2025-01-01 04:00:00,4.690506437128532
2025-01-01 05:00:00,5.6333198635763875
2025-01-01 06:00:00,4.8789098099813994
2025-01-01 07:00:00,0.6662493909660476
2025-01-01 08:00:00,-2.3304975528787324
2025-01-01 09:00:00,-4.553567700670971
2025-01-01 10:00:00,-4.052097682805975
2025-01-01 11:00:00,-3.981200909490701
2025-01-01 12:00:00,-7.302104688366201
2025-01-01 13:00:00,-7.270028022240897
2025-01-01 14:00:00,-6.836164815045262
2025-01-01 15:00:00,-6.347378111565877
2025-01-01 16:00:00,-5.673384792307996
2025-01-01 17:00:00,-4.934024844278893
2025-01-01 18:00:00,-6.129104850775255
2025-01-01 19:00:00,-5.6690415461341885
2025-01-01 20:00:00,-5.236168317825376
2025-01-01 21:00:00,-4.700641676061432
2025-01-01 22:00:00,-4.295368252861756
2025-01-01 23:00:00,-3.604664896249794
2025-01-02 00:00:00,-3.192681435696036
2025-01-02 01:00:00,-2.9980146607566684
2025-01-02 02:00:00,-3.987247999503637
2025-01-02 03:00:00,-4.629164652636218
2025-01-02 04:00:00,-4.4145646851180285
2025-01-02 05:00:00,-4.07827138210105
2025-01-02 06:00:00,-3.6039914405683096
2025-01-02 07:00:00,-3.3523280060000005
2025-01-02 08:00:00,-3.352361409710589
2025-01-02 09:00:00,-3.109808207387225
2025-01-02 10:00:00,-3.020764782563459
2025-01-02 11:00:00,-2.565941497411478
2025-01-02 12:00:00,-2.399231460057397
2025-01-02 13:00:00,-2.7546683990299075
2025-01-02 14:00:00,-3.1039984461285313
2025-01-02 15:00:00,-2.838088473738071
2025-01-02 16:00:00,-2.598855134991104
2025-01-02 17:00:00,-2.63489521944381
2025-01-02 18:00:00,-2.6811551187501985
2025-01-02 19:00:00,-2.430388457497169
2025-01-02 20:00:00,-4.052424714351661
2025-01-02 21:00:00,-3.652074787435735
2025-01-02 22:00:00,-3.4055581667849673
2025-01-02 23:00:00,-3.2903515510064705
2025-01-03 00:00:00,-2.990764782563464
2025-01-03 01:00:00,-2.5501880352336337
2025-01-03 02:00:00,-2.4905643602999263
2025-01-03 03:00:00,-2.425167830598227
2025-01-03 04:00:00,-2.227084483730807
2025-01-03 05:00:00,-1.9263178224777766
2025-01-03 06:00:00,-2.1113345243330714
2025-01-03 07:00:00,-2.036191213195644
2025-01-03 08:00:00,-1.7708245844244226
2025-01-03 09:00:00,-1.5137013155133456
2025-01-03 10:00:00,-1.3720079800145577
2025-01-03 11:00:00,-1.0992912619183575
2025-01-03 12:00:00,-1.1924511125020303
2025-01-03 13:00:00,-0.6096077851236955
