time,equity
2025-01-19 08:00:00,0.0
2025-01-19 09:00:00,-2.3020022930112276
2025-01-19 10:00:00,0.06634775046907748
2025-01-19 11:00:00,-2.2159180832081304
2025-01-19 12:00:00,-4.133678026454064
2025-01-19 13:00:00,-2.7501890567073133
2025-01-19 14:00:00,-6.056977939493471
2025-01-19 15:00:00,-3.2961844706848353
2025-01-19 16:00:00,0.46191349718568375
2025-01-19 17:00:00,2.179558867682921
2025-01-19 18:00:00,3.4286651379925246
2025-01-19 19:00:00,4.072821538743014
2025-01-19 20:00:00,5.894975646482266
2025-01-19 21:00:00,5.18641076937152
2025-01-19 22:00:00,7.251990827955076
2025-01-19 23:00:00,8.618301336444823
2025-01-20 00:00:00,7.047419071810616
2025-01-20 01:00:00,8.825001423405404
2025-01-20 02:00:00,9.963981655910132
2025-01-20 03:00:00,11.241248912992713
2025-01-20 04:00:00,12.517118289165357
2025-01-20 05:00:00,13.3776224403849
2025-01-20 06:00:00,14.149524472514376
2025-01-20 07:00:00,15.323743892167311
2025-01-20 08:00:00,10.837848739071543
2025-01-20 09:00:00,21.98112572199859
2025-01-20 10:00:00,24.401088480019286
2025-01-20 11:00:00,25.990131731426455
2025-01-20 12:00:00,28.22514461988803
2025-01-20 13:00:00,32.61646801683935
2025-01-20 14:00:00,33.895007117026985
2025-01-20 15:00:00,35.10922653667992
2025-01-20 16:00:00,36.38576334385631
2025-01-20 17:00:00,37.90547402626723
2025-01-20 18:00:00,39.26956740811528
2025-01-20 19:00:00,42.353623547984014
2025-01-20 20:00:00,44.14657112453189
2025-01-20 21:00:00,45.29066450637993
2025-01-20 22:00:00,46.48177306970078
2025-01-20 23:00:00,47.771294695404364
2025-01-21 00:00:00,48.866307583865925
2025-01-21 01:00:00,50.09747916608921
2025-01-21 02:00:00,50.61582920956951
2025-01-21 03:00:00,51.6392551604138
2025-01-21 04:00:00,52.77883980501982
2025-01-21 05:00:00,54.75585498649263
2025-01-21 06:00:00,56.17220273696168
2025-01-21 07:00:00,56.72775701862211
2025-01-21 08:00:00,58.131245988368846
2025-01-21 09:00:00,57.463085001595886
2025-01-21 10:00:00,58.77235455168968
2025-01-21 11:00:00,60.17438262162405
2025-01-21 12:00:00,61.19396726623007
2025-01-21 13:00:00,61.94196497321883
2025-01-21 14:00:00,57.58137202617371
2025-01-21 15:00:00,60.4346346972338
2025-01-21 16:00:00,57.23356337589227
2025-01-21 17:00:00,58.26803487115498
2025-01-21 18:00:00,60.0340302851325
2025-01-21 19:00:00,61.657267179269475
2025-01-21 20:00:00,62.672595162243255
2025-01-21 21:00:00,63.886084131989996
2025-01-21 22:00:00,64.0453536820838
2025-01-21 23:00:00,65.74525342120202
2025-01-22 00:00:00,66.90569455351913
