entry_time,exit_time,position,entry_z,exit_z,pnl,duration_h
2025-01-01 14:00:00,2025-01-03 02:00:00,-1,2.239759791308876,-1.611821094736093,1.6227564124926062,36.0
2025-01-03 12:00:00,2025-01-03 20:00:00,1,-2.206922542678501,0.0379642315869096,2.279093175996042,8.0
2025-01-07 14:00:00,2025-01-09 16:00:00,1,-2.628154644090023,0.2621703704193867,-1.575286177576519,50.0
2025-01-10 09:00:00,2025-01-11 15:00:00,-1,2.029635570445129,-0.1905703663923388,0.6819297814356204,30.0
2025-01-13 02:00:00,2025-01-14 14:00:00,1,-2.061658615686416,0.215109893687349,-0.549488521284168,36.0
2025-01-15 01:00:00,2025-01-17 19:00:00,-1,2.224669521927698,-0.0948404722846155,-4.71175007903193,66.0
2025-01-18 03:00:00,2025-01-21 18:00:00,1,-3.3378843797856192,0.3413166655915581,-3.264047577260424,87.0
2025-01-23 17:00:00,2025-01-24 00:00:00,-1,2.1200964614728166,-0.2650680510050323,0.7726928435166265,7.0
2025-01-24 01:00:00,2025-01-28 05:00:00,1,-2.3019795026343437,0.047955434718811,-2.381202659835358,100.0
2025-01-30 09:00:00,2025-01-31 04:00:00,-1,2.524443655526029,-0.0108306691058954,0.576400332479416,19.0
2025-02-01 16:00:00,2025-02-05 10:00:00,1,-2.436468614125801,0.3325910230591753,-3.8757617158116133,90.0
2025-02-05 22:00:00,2025-02-07 13:00:00,1,-2.030447241914238,0.386738442949009,0.2134918460783668,39.0
2025-02-09 21:00:00,2025-02-10 13:00:00,1,-2.7752729804073644,0.5500809118889317,0.6847304463944601,16.0
2025-02-11 01:00:00,2025-02-11 13:00:00,-1,2.0206045218720807,-0.107132461664327,0.6028366054395784,12.0
2025-02-12 00:00:00,2025-02-12 15:00:00,-1,2.306782330083637,-0.1544569366314189,0.6435996675205802,15.0
2025-02-12 23:00:00,2025-02-15 11:00:00,-1,2.9957445038580657,-0.3715706791498128,-1.329416640322691,60.0
2025-02-15 19:00:00,2025-02-16 13:00:00,-1,2.064059743224624,-0.1864408671668517,0.477818635199208,18.0
2025-02-21 15:00:00,2025-02-22 12:00:00,1,-2.077340972859534,0.0042652747583021,0.08574509184063395,21.0
2025-02-24 21:00:00,2025-02-26 02:00:00,1,-2.564184553766569,0.0194793128927105,-0.2202156428844333,29.0
2025-02-27 23:00:00,2025-02-28 07:00:00,-1,2.0325031655425634,-0.3578629140682092,0.8331683817517135,8.0
2025-02-28 20:00:00,2025-03-01 12:00:00,-1,2.586322219317389,-0.1596977301811499,0.5548382678366739,16.0
2025-03-02 16:00:00,2025-03-03 06:00:00,-1,2.507008446598715,-0.4090003410260952,0.842585022074406,14.0
2025-03-03 19:00:00,2025-03-06 03:00:00,1,-2.3401067210881497,0.0681813025933321,-0.22367154848205573,56.0
2025-03-06 18:00:00,2025-03-11 22:00:00,1,-2.2115551337214536,0.0581172716721093,-1.6123693791899756,124.0
2025-03-14 15:00:00,2025-03-15 08:00:00,-1,2.512961007070479,-1.1731913097558084,0.42432678912084487,17.0
2025-03-16 11:00:00,2025-03-16 20:00:00,1,-2.314500961484144,0.1915525705768948,0.2571274540796855,9.0
2025-03-17 07:00:00,2025-03-17 13:00:00,-1,2.853153298783267,-0.0675077252226051,0.40570915135989516,6.0
2025-03-17 18:00:00,2025-03-18 02:00:00,-1,2.014517982159844,-0.6373446719086954,0.33494608927889313,8.0
2025-03-18 12:00:00,2025-03-19 11:00:00,1,-2.089391321237534,0.6579803098958215,0.3969836921567289,23.0
2025-03-23 04:00:00,2025-03-23 10:00:00,1,-2.1363440023476006,0.1064467201606751,0.1764362729601574,6.0
2025-03-23 18:00:00,2025-03-24 03:00:00,1,-2.2253823644289707,1.4816332579217373,0.2305114787158331,9.0
2025-03-24 04:00:00,2025-03-27 16:00:00,-1,2.215762217102241,-0.0760507633743677,-0.7306911811195249,84.0
2025-03-28 09:00:00,2025-03-29 12:00:00,1,-2.1028182065268632,0.0437847440728942,0.19737903744485497,27.0
2025-03-31 00:00:00,2025-04-01 13:00:00,1,-2.1019825127059395,0.1510845604207698,0.1313104812775725,37.0
2025-04-02 22:00:00,2025-04-04 08:00:00,1,-4.15275745178968,0.1011289199315368,0.2048742083174151,34.0
2025-04-06 12:00:00,2025-04-07 17:00:00,1,-2.294896472624318,0.1502228299221699,0.014722134408968301,29.0
2025-04-09 17:00:00,2025-04-13 13:00:00,-1,2.814053186204648,-0.5533960306474109,-0.28425490815936794,92.0
2025-04-13 20:00:00,2025-04-14 14:00:00,1,-3.140995175154952,0.0245111544596634,0.2798921785577848,18.0
2025-04-16 17:00:00,2025-04-16 18:00:00,1,-2.3254901586302834,0.3733310116881874,0.21349184607836413,1.0
2025-04-17 16:00:00,2025-04-20 03:00:00,-1,2.042690633424144,-0.4823531874717092,-0.11756705183403593,59.0
