pair,total_pnl,sharpe,max_dd,num_trades,win_rate,avg_duration_h
BTCUSDT_WBTCUSDT,11713.690425095163,164.80359624971405,29.38239692832576,130,0.9846153846153847,8.738461538461538
AVAXUSDT_MOVRUSDT,-1.9044938247660674,-1.0190142816461973,14.936477087822112,54,0.6666666666666666,36.907407407407405
YFIUSDT_ALCXUSDT,27.017279478456253,17.784872456432353,16.291871137746192,58,0.7413793103448276,31.810344827586206
AVAXUSDT_FARMUSDT,31.220413646884733,30.018008758208172,4.165449383964145,61,0.7868852459016393,29.524590163934427
INJUSDT_MOVRUSDT,-7.856964835817903,-14.854303193870408,7.856964835817903,48,0.5833333333333334,43.625
EGLDUSDT_ILVUSDT,-20.840993416978044,-7.409589491521546,25.57806569687257,58,0.6896551724137931,36.310344827586206
KSMUSDT_FARMUSDT,39.21833111299823,34.72140582155588,2.921816247637345,66,0.8181818181818182,26.78787878787879
SOLUSDT_MOVRUSDT,-1.5197790545147676,-0.7273554012024568,19.606397355338387,56,0.6428571428571429,36.035714285714285
YFIUSDT_TRUMPUSDT,40.15492210538603,37.0417256886854,6.08575061946172,58,0.8275862068965517,25.948275862068964
KSMUSDT_ZENUSDT,-1.6171966425023854,-1.7610504978486647,14.32651377336835,62,0.7419354838709677,31.548387096774192
EGLDUSDT_FARMUSDT,35.97853319427499,35.613857555270826,2.509016083518503,59,0.7796610169491526,27.491525423728813
BANANAUSDT_TRUMPUSDT,-8.17696620216278,-8.696839763446194,19.22606389456931,42,0.6904761904761905,40.80952380952381
FARMUSDT_ALCXUSDT,66.53139892126397,30.256813296807696,7.4246768296231735,64,0.8125,26.8125
BIFIUSDT_ALCXUSDT,13.243683310226103,39.630989058606794,1.4092929595320651,65,0.8307692307692308,26.2
ILVUSDT_MOVRUSDT,-2.3423664331919007,-9.932078032432456,3.4415233782321546,49,0.673469387755102,38.97959183673469
AVAXUSDT_TRUMPUSDT,0.13031169388002084,0.13552675347094253,12.115838164902176,45,0.6222222222222222,40.68888888888889
UNIUSDT_RAYUSDT,-0.28295303735471933,-1.2820594986191893,2.213234059758366,54,0.6481481481481481,37.2037037037037
FARMUSDT_ARUSDT,0.3028583487515497,0.5530300884710241,6.117423096098397,58,0.7413793103448276,33.96551724137931
EGLDUSDT_MOVRUSDT,-2.322523269565652,-5.1690311543409635,3.967160692160407,58,0.6379310344827587,35.689655172413794
INJUSDT_ALCXUSDT,-8.4127444066966,-8.400295433244178,13.886165094656246,55,0.5454545454545454,40.8
YFIUSDT_FARMUSDT,42.52842963990477,41.903301389234265,2.550537409312664,67,0.8656716417910447,23.402985074626866
METISUSDT_SSVUSDT,12.506832830872048,31.53775515349265,2.6173504593631094,65,0.8615384615384616,27.56923076923077
KSMUSDT_TRUMPUSDT,-6.5737461571690705,-5.601713533648026,10.719845660647932,49,0.6530612244897959,36.204081632653065
GNOUSDT_FARMUSDT,25.28913805267746,21.36276125671849,4.780899954332755,60,0.7833333333333333,32.61666666666667
FARMUSDT_TRUMPUSDT,66.90569455351913,38.194107828018005,6.123325689962549,64,0.84375,24.75
COMPUSDT_DASHUSDT,30.158356177617215,43.593212097378654,1.2187456473684968,66,0.8181818181818182,28.62121212121212
SOLUSDT_ALCXUSDT,-2.0955982872465935,-1.8128728992224064,9.954441430757095,53,0.6415094339622641,38.20754716981132
BIFIUSDT_TRUMPUSDT,-0.8737020645349531,-1.0200468926281065,9.31105611619346,50,0.7,38.42
SOLUSDT_FARMUSDT,20.469577794321207,9.477699762742382,17.45978800527416,64,0.765625,32.578125
EGLDUSDT_TRUMPUSDT,0.7259487797040904,0.9552996369501489,11.236963843983068,43,0.627906976744186,38.53488372093023
YFIUSDT_DASHUSDT,22.809555311580876,27.975332863124354,8.808675297861086,71,0.8873239436619719,25.295774647887324
TRUMPUSDT_DASHUSDT,2.905810956169921,5.59889200966888,6.281174117329751,50,0.6,36.12
GNOUSDT_TRUMPUSDT,0.26462375186707554,0.4064391859212494,4.92778074769218,48,0.6458333333333334,39.229166666666664
SOLUSDT_TRUMPUSDT,3.7867869698346137,5.047047691815153,8.396490437925394,47,0.6808510638297872,39.361702127659576
FARMUSDT_DASHUSDT,46.213436147881104,45.269009014369125,3.0168087707982494,73,0.8356164383561644,26.068493150684933
METISUSDT_TRUMPUSDT,-11.50545838570784,-10.77532692535322,13.814159810187986,46,0.6739130434782609,42.32608695652174
EGLDUSDT_LPTUSDT,-0.5942200059801817,-1.4548860336196505,3.7124338893816384,58,0.6896551724137931,34.55172413793103
BNSOLUSDT_TRUMPUSDT,2.0390566012598264,2.7486410556246983,10.35775747905438,46,0.6521739130434783,39.58695652173913
ZENUSDT_MOVRUSDT,-9.588567418059373,-3.1319948109995877,51.690212740602824,59,0.6949152542372882,35.49152542372882
LPTUSDT_TRUMPUSDT,-2.3331864911349687,-2.0952088892414897,10.359446771796419,50,0.66,38.76
COMPUSDT_FARMUSDT,42.513545266058195,38.42974890204815,4.0612278568496265,69,0.8260869565217391,27.89855072463768
KSMUSDT_DASHUSDT,5.2482505834341,9.30151053419997,5.879442786662599,53,0.7358490566037735,35.43396226415094
GNOUSDT_COMPUSDT,37.06276965436203,24.013805042442687,9.353411371460432,62,0.7903225806451613,31.258064516129032
YFIUSDT_ZENUSDT,-0.6096077851236955,-0.7294431908076826,13.122938157040409,61,0.7213114754098361,35.049180327868854
COMPUSDT_RAYUSDT,1.8194985164818114,9.182475861391845,1.1104386806984374,51,0.6274509803921569,38.09803921568628
