2025-06-14 00:47:27,920 - INFO - Found cointegrated pair: AAVEUSDT-LPTUSDT, p-value=0.0468
2025-06-14 00:47:30,578 - INFO - Found cointegrated pair: AAVEUSDT-METISUSDT, p-value=0.0025
2025-06-14 00:47:34,749 - INFO - Found cointegrated pair: AAVEUSDT-ENSUSDT, p-value=0.0013
2025-06-14 00:47:37,199 - INFO - Found cointegrated pair: AAVEUSDT-LINKUSDT, p-value=0.0015
2025-06-14 00:47:49,942 - INFO - Found cointegrated pair: AAVEUSDT-ETCUSDT, p-value=0.0005
2025-06-14 00:47:54,100 - INFO - Found cointegrated pair: AAVEUSDT-UNIUSDT, p-value=0.0264
2025-06-14 00:47:55,920 - INFO - Found cointegrated pair: AAVEUSDT-MOVRUSDT, p-value=0.0000
2025-06-14 00:47:56,888 - INFO - Found cointegrated pair: BNSOLUSDT-BANANAUSDT, p-value=0.0399
2025-06-14 00:47:57,610 - INFO - Found cointegrated pair: BNSOLUSDT-TRUMPUSDT, p-value=0.0000
2025-06-14 00:48:00,433 - INFO - Found cointegrated pair: BNSOLUSDT-RAYUSDT, p-value=0.0286
2025-06-14 00:48:08,950 - INFO - Found cointegrated pair: SOLUSDT-LPTUSDT, p-value=0.0152
2025-06-14 00:48:12,088 - INFO - Found cointegrated pair: SOLUSDT-METISUSDT, p-value=0.0002
2025-06-14 00:48:18,135 - INFO - Found cointegrated pair: SOLUSDT-FARMUSDT, p-value=0.0000
2025-06-14 00:48:18,360 - INFO - Found cointegrated pair: SOLUSDT-TRUMPUSDT, p-value=0.0000
2025-06-14 00:48:30,141 - INFO - Found cointegrated pair: SOLUSDT-ENSUSDT, p-value=0.0000
2025-06-14 00:49:01,926 - INFO - Found cointegrated pair: SOLUSDT-ETCUSDT, p-value=0.0044
2025-06-14 00:49:11,594 - INFO - Found cointegrated pair: SOLUSDT-MOVRUSDT, p-value=0.0000
2025-06-14 00:49:33,598 - INFO - Found cointegrated pair: SOLUSDT-ALCXUSDT, p-value=0.0000
2025-06-14 00:49:40,687 - INFO - Found cointegrated pair: TRBUSDT-LPTUSDT, p-value=0.0435
2025-06-14 00:49:43,372 - INFO - Found cointegrated pair: TRBUSDT-INJUSDT, p-value=0.0000
2025-06-14 00:49:45,628 - INFO - Found cointegrated pair: GNOUSDT-LTCUSDT, p-value=0.0135
2025-06-14 00:49:47,795 - INFO - Found cointegrated pair: GNOUSDT-COMPUSDT, p-value=0.0000
2025-06-14 00:49:49,887 - INFO - Found cointegrated pair: GNOUSDT-EGLDUSDT, p-value=0.0439
2025-06-14 00:49:52,002 - INFO - Found cointegrated pair: GNOUSDT-LPTUSDT, p-value=0.0000
2025-06-14 00:49:54,422 - INFO - Found cointegrated pair: GNOUSDT-AVAXUSDT, p-value=0.0032
2025-06-14 00:49:54,834 - INFO - Found cointegrated pair: GNOUSDT-METISUSDT, p-value=0.0027
2025-06-14 00:49:57,072 - INFO - Found cointegrated pair: GNOUSDT-KSMUSDT, p-value=0.0123
2025-06-14 00:49:59,268 - INFO - Found cointegrated pair: GNOUSDT-FARMUSDT, p-value=0.0000
2025-06-14 00:49:59,407 - INFO - Found cointegrated pair: GNOUSDT-TRUMPUSDT, p-value=0.0000
2025-06-14 00:50:01,616 - INFO - Found cointegrated pair: GNOUSDT-DASHUSDT, p-value=0.0014
2025-06-14 00:50:03,583 - INFO - Found cointegrated pair: GNOUSDT-ENSUSDT, p-value=0.0018
2025-06-14 00:50:05,816 - INFO - Found cointegrated pair: GNOUSDT-LINKUSDT, p-value=0.0144
2025-06-14 00:50:13,489 - INFO - Found cointegrated pair: GNOUSDT-ETCUSDT, p-value=0.0000
2025-06-14 00:50:15,651 - INFO - Found cointegrated pair: GNOUSDT-SSVUSDT, p-value=0.0238
2025-06-14 00:50:17,691 - INFO - Found cointegrated pair: GNOUSDT-ZENUSDT, p-value=0.0024
2025-06-14 00:50:20,771 - INFO - Found cointegrated pair: GNOUSDT-UNIUSDT, p-value=0.0000
2025-06-14 00:50:22,650 - INFO - Found cointegrated pair: GNOUSDT-MOVRUSDT, p-value=0.0000
2025-06-14 00:50:24,767 - INFO - Found cointegrated pair: GNOUSDT-NMRUSDT, p-value=0.0008
2025-06-14 00:50:26,870 - INFO - Found cointegrated pair: GNOUSDT-ARUSDT, p-value=0.0001
2025-06-14 00:50:28,842 - INFO - Found cointegrated pair: GNOUSDT-ALCXUSDT, p-value=0.0000
2025-06-14 00:50:30,854 - INFO - Found cointegrated pair: GNOUSDT-RAYUSDT, p-value=0.0055
2025-06-14 00:50:33,438 - INFO - Found cointegrated pair: LTCUSDT-EGLDUSDT, p-value=0.0098
2025-06-14 00:50:33,836 - INFO - Found cointegrated pair: LTCUSDT-METISUSDT, p-value=0.0027
2025-06-14 00:50:36,266 - INFO - Found cointegrated pair: LTCUSDT-KSMUSDT, p-value=0.0000
2025-06-14 00:50:38,083 - INFO - Found cointegrated pair: LTCUSDT-ENSUSDT, p-value=0.0045
2025-06-14 00:50:42,702 - INFO - Found cointegrated pair: LTCUSDT-UNIUSDT, p-value=0.0000
2025-06-14 00:50:44,554 - INFO - Found cointegrated pair: LTCUSDT-MOVRUSDT, p-value=0.0073
2025-06-14 00:50:47,038 - INFO - Found cointegrated pair: LTCUSDT-NMRUSDT, p-value=0.0015
2025-06-14 00:50:48,923 - INFO - Found cointegrated pair: LTCUSDT-ALCXUSDT, p-value=0.0078
